Country,Species,Value
Australia,Mammals,9
Australia,Birds,17
Australia,Reptiles,9
Australia,Amphibians,17
Australia,Fish,8
Australia,Marine Fish,4
Australia,Freshwater Fish,4
Australia,Vascular plants,212
Australia,Mosses,
Australia,Lichens,
Australia,Invertebrates,30
Austria,Mammals,4
Austria,Birds,14
Austria,Reptiles,3
Austria,Amphibians,1
Austria,Fish,6
Austria,Marine Fish,
Austria,Freshwater Fish,6
Austria,Vascular plants,235
Austria,Mosses,34
Austria,Lichens,57
Austria,Invertebrates,302
Belgium,Mammals,4
Belgium,Birds,20
Belgium,Reptiles,
Belgium,Amphibians,3
Belgium,Fish,3
Belgium,Marine Fish,2
Belgium,Freshwater Fish,1
Belgium,Vascular plants,253
Belgium,Mosses,
Belgium,Lichens,
Belgium,Invertebrates,135
Canada,Mammals,11
Canada,Birds,23
Canada,Reptiles,4
Canada,Amphibians,3
Canada,Fish,11
Canada,Marine Fish,3
Canada,Freshwater Fish,8
Canada,Vascular plants,254
Canada,Mosses,75
Canada,Lichens,127
Canada,Invertebrates,287
Chile,Mammals,3
Chile,Birds,2
Chile,Reptiles,9
Chile,Amphibians,10
Chile,Fish,1
Chile,Marine Fish,
Chile,Freshwater Fish,1
Chile,Vascular plants,74
Chile,Mosses,1
Chile,Lichens,1
Chile,Invertebrates,33
Colombia,Mammals,4
Colombia,Birds,15
Colombia,Reptiles,11
Colombia,Amphibians,75
Colombia,Fish,7
Colombia,Marine Fish,1
Colombia,Freshwater Fish,2
Colombia,Vascular plants,105
Colombia,Mosses,6
Colombia,Lichens,0
Colombia,Invertebrates,6
Costa Rica,Mammals,1
Costa Rica,Birds,2
Costa Rica,Reptiles,3
Costa Rica,Amphibians,23
Costa Rica,Fish,4
Costa Rica,Marine Fish,
Costa Rica,Freshwater Fish,
Costa Rica,Vascular plants,10
Costa Rica,Mosses,
Costa Rica,Lichens,
Costa Rica,Invertebrates,3
Czechia,Mammals,10
Czechia,Birds,35
Czechia,Reptiles,1
Czechia,Amphibians,5
Czechia,Fish,15
Czechia,Marine Fish,
Czechia,Freshwater Fish,15
Czechia,Vascular plants,284
Czechia,Mosses,70
Czechia,Lichens,136
Czechia,Invertebrates,961
Denmark,Mammals,1
Denmark,Birds,24
Denmark,Reptiles,
Denmark,Amphibians,1
Denmark,Fish,3
Denmark,Marine Fish,
Denmark,Freshwater Fish,2
Denmark,Vascular plants,33
Denmark,Mosses,5
Denmark,Lichens,84
Denmark,Invertebrates,104
Estonia,Mammals,2
Estonia,Birds,23
Estonia,Reptiles,
Estonia,Amphibians,
Estonia,Fish,3
Estonia,Marine Fish,2
Estonia,Freshwater Fish,3
Estonia,Vascular plants,35
Estonia,Mosses,19
Estonia,Lichens,64
Estonia,Invertebrates,40
Finland,Mammals,1
Finland,Birds,18
Finland,Reptiles,0
Finland,Amphibians,0
Finland,Fish,4
Finland,Marine Fish,1
Finland,Freshwater Fish,3
Finland,Vascular plants,35
Finland,Mosses,133
Finland,Lichens,98
Finland,Invertebrates,168
France,Mammals,3
France,Birds,16
France,Reptiles,0
France,Amphibians,0
France,Fish,7
France,Marine Fish,3
France,Freshwater Fish,4
France,Vascular plants,51
France,Mosses,
France,Lichens,
France,Invertebrates,18
Germany,Mammals,7
Germany,Birds,30
Germany,Reptiles,4
Germany,Amphibians,0
Germany,Fish,12
Germany,Marine Fish,4
Germany,Freshwater Fish,8
Germany,Vascular plants,212
Germany,Mosses,45
Germany,Lichens,337
Germany,Invertebrates,559
Greece,Mammals,3
Greece,Birds,14
Greece,Reptiles,1
Greece,Amphibians,1
Greece,Fish,19
Greece,Marine Fish,5
Greece,Freshwater Fish,14
Greece,Vascular plants,17
Greece,Mosses,
Greece,Lichens,
Greece,Invertebrates,
Hungary,Mammals,5
Hungary,Birds,23
Hungary,Reptiles,
Hungary,Amphibians,
Hungary,Fish,
Hungary,Marine Fish,
Hungary,Freshwater Fish,
Hungary,Vascular plants,115
Hungary,Mosses,20
Hungary,Lichens,24
Hungary,Invertebrates,9
Iceland,Mammals,
Iceland,Birds,6
Iceland,Reptiles,
Iceland,Amphibians,
Iceland,Fish,
Iceland,Marine Fish,
Iceland,Freshwater Fish,
Iceland,Vascular plants,
Iceland,Mosses,
Iceland,Lichens,
Iceland,Invertebrates,
Ireland,Mammals,
Ireland,Birds,
Ireland,Reptiles,
Ireland,Amphibians,
Ireland,Fish,
Ireland,Marine Fish,6
Ireland,Freshwater Fish,1
Ireland,Vascular plants,20
Ireland,Mosses,19
Ireland,Lichens,
Ireland,Invertebrates,28
Italy,Mammals,2
Italy,Birds,10
Italy,Reptiles,1
Italy,Amphibians,0
Italy,Fish,21
Italy,Marine Fish,10
Italy,Freshwater Fish,11
Italy,Vascular plants,193
Italy,Mosses,
Italy,Lichens,
Italy,Invertebrates,88
Japan,Mammals,12
Japan,Birds,24
Japan,Reptiles,5
Japan,Amphibians,5
Japan,Fish,79
Japan,Marine Fish,8
Japan,Freshwater Fish,71
Japan,Vascular plants,529
