Country,Species,Value
Australia,Mammals,377
Australia,Birds,798
Australia,Reptiles,1085
Australia,Amphibians,239
Australia,Fish,5342
Australia,Marine Fish,5058
Australia,Freshwater Fish,315
Australia,Vascular plants,22949
Australia,Mosses,2020
Australia,Lichens,3880
Australia,Invertebrates,114940
Austria,Mammals,104
Austria,Birds,229
Austria,Reptiles,14
Austria,Amphibians,21
Austria,Fish,99
Austria,Marine Fish,
Austria,Freshwater Fish,99
Austria,Vascular plants,3054
Austria,Mosses,1016
Austria,Lichens,2100
Austria,Invertebrates,53464
Belgium,Mammals,84
Belgium,Birds,198
Belgium,Reptiles,10
Belgium,Amphibians,19
Belgium,Fish,142
Belgium,Marine Fish,99
Belgium,Freshwater Fish,43
Belgium,Vascular plants,1818
Belgium,Mosses,521
Belgium,Lichens,838
Belgium,Invertebrates,5238
Canada,Mammals,222
Canada,Birds,691
Canada,Reptiles,45
Canada,Amphibians,46
Canada,Fish,1392
Canada,Marine Fish,1229
Canada,Freshwater Fish,163
Canada,Vascular plants,5304
Canada,Mosses,1405
Canada,Lichens,2677
Canada,Invertebrates,31471
Chile,Mammals,185
Chile,Birds,510
Chile,Reptiles,140
Chile,Amphibians,65
Chile,Fish,1272
Chile,Marine Fish,1182
Chile,Freshwater Fish,72
Chile,Vascular plants,6103
Chile,Mosses,923
Chile,Lichens,1383
Chile,Invertebrates,12220
Colombia,Mammals,543
Colombia,Birds,1954
Colombia,Reptiles,638
Colombia,Amphibians,871
Colombia,Fish,4216
Colombia,Marine Fish,2600
Colombia,Freshwater Fish,1603
Colombia,Vascular plants,38140
Colombia,Mosses,1640
Colombia,Lichens,1761
Colombia,Invertebrates,22745
Costa Rica,Mammals,241
Costa Rica,Birds,890
Costa Rica,Reptiles,196
Costa Rica,Amphibians,191
Costa Rica,Fish,2012
Costa Rica,Marine Fish,
Costa Rica,Freshwater Fish,
Costa Rica,Vascular plants,1943
Costa Rica,Mosses,4
Costa Rica,Lichens,
Costa Rica,Invertebrates,447
Czechia,Mammals,92
Czechia,Birds,221
Czechia,Reptiles,13
Czechia,Amphibians,21
Czechia,Fish,80
Czechia,Marine Fish,
Czechia,Freshwater Fish,80
Czechia,Vascular plants,2256
Czechia,Mosses,886
Czechia,Lichens,1526
Czechia,Invertebrates,32000
Denmark,Mammals,71
Denmark,Birds,241
Denmark,Reptiles,8
Denmark,Amphibians,15
Denmark,Fish,238
Denmark,Marine Fish,
Denmark,Freshwater Fish,55
Denmark,Vascular plants,2918
Denmark,Mosses,452
Denmark,Lichens,1002
Denmark,Invertebrates,4270
Estonia,Mammals,66
Estonia,Birds,234
Estonia,Reptiles,5
Estonia,Amphibians,11
Estonia,Fish,103
Estonia,Marine Fish,66
Estonia,Freshwater Fish,54
Estonia,Vascular plants,2013
Estonia,Mosses,598
Estonia,Lichens,556
Estonia,Invertebrates,10371
Finland,Mammals,71
Finland,Birds,253
Finland,Reptiles,6
Finland,Amphibians,10
Finland,Fish,88
Finland,Marine Fish,25
Finland,Freshwater Fish,63
Finland,Vascular plants,2628
Finland,Mosses,929
Finland,Lichens,1898
Finland,Invertebrates,14647
France,Mammals,125
France,Birds,396
France,Reptiles,38
France,Amphibians,35
France,Fish,163
France,Marine Fish,83
France,Freshwater Fish,80
France,Vascular plants,4982
France,Mosses,
France,Lichens,
France,Invertebrates,1060
Germany,Mammals,107
Germany,Birds,280
Germany,Reptiles,13
Germany,Amphibians,21
Germany,Fish,197
Germany,Marine Fish,94
Germany,Freshwater Fish,103
Germany,Vascular plants,4305
Germany,Mosses,1195
Germany,Lichens,2380
Germany,Invertebrates,10434
Greece,Mammals,115
Greece,Birds,440
