Country,Species,Value
Australia,Mammals,57
Australia,Birds,63
Australia,Reptiles,31
Australia,Amphibians,14
Australia,Fish,25
Australia,Marine Fish,8
Australia,Freshwater Fish,17
Australia,Vascular plants,585
Australia,Mosses,1
Australia,Lichens,
Australia,Invertebrates,14
Austria,Mammals,17
Austria,Birds,28
Austria,Reptiles,3
Austria,Amphibians,8
Austria,Fish,15
Austria,Marine Fish,
Austria,Freshwater Fish,15
Austria,Vascular plants,488
Austria,Mosses,135
Austria,Lichens,251
Austria,Invertebrates,356
Belgium,Mammals,12
Belgium,Birds,20
Belgium,Reptiles,2
Belgium,Amphibians,
Belgium,Fish,22
Belgium,Marine Fish,9
Belgium,Freshwater Fish,13
Belgium,Vascular plants,63
Belgium,Mosses,
Belgium,Lichens,
Belgium,Invertebrates,230
Canada,Mammals,33
Canada,Birds,52
Canada,Reptiles,16
Canada,Amphibians,10
Canada,Fish,51
Canada,Marine Fish,38
Canada,Freshwater Fish,13
Canada,Vascular plants,418
Canada,Mosses,184
Canada,Lichens,104
Canada,Invertebrates,1553
Chile,Mammals,20
Chile,Birds,19
Chile,Reptiles,25
Chile,Amphibians,11
Chile,Fish,14
Chile,Marine Fish,1
Chile,Freshwater Fish,13
Chile,Vascular plants,153
Chile,Mosses,4
Chile,Lichens,1
Chile,Invertebrates,23
Colombia,Mammals,24
Colombia,Birds,61
Colombia,Reptiles,17
Colombia,Amphibians,101
Colombia,Fish,92
Colombia,Marine Fish,9
Colombia,Freshwater Fish,46
Colombia,Vascular plants,319
Colombia,Mosses,32
Colombia,Lichens,0
Colombia,Invertebrates,48
Costa Rica,Mammals,13
Costa Rica,Birds,19
Costa Rica,Reptiles,5
Costa Rica,Amphibians,15
Costa Rica,Fish,74
Costa Rica,Marine Fish,
Costa Rica,Freshwater Fish,
Costa Rica,Vascular plants,90
Costa Rica,Mosses,2
Costa Rica,Lichens,
Costa Rica,Invertebrates,15
Czechia,Mammals,4
Czechia,Birds,36
Czechia,Reptiles,3
Czechia,Amphibians,6
Czechia,Fish,8
Czechia,Marine Fish,
Czechia,Freshwater Fish,8
Czechia,Vascular plants,212
Czechia,Mosses,76
Czechia,Lichens,247
Czechia,Invertebrates,1261
Denmark,Mammals,6
Denmark,Birds,45
Denmark,Reptiles,1
Denmark,Amphibians,1
Denmark,Fish,2
Denmark,Marine Fish,
Denmark,Freshwater Fish,6
Denmark,Vascular plants,28
Denmark,Mosses,33
Denmark,Lichens,87
Denmark,Invertebrates,319
Estonia,Mammals,
Estonia,Birds,41
Estonia,Reptiles,1
Estonia,Amphibians,1
Estonia,Fish,5
Estonia,Marine Fish,1
Estonia,Freshwater Fish,5
Estonia,Vascular plants,102
Estonia,Mosses,116
Estonia,Lichens,43
Estonia,Invertebrates,54
Finland,Mammals,3
Finland,Birds,35
Finland,Reptiles,1
Finland,Amphibians,0
Finland,Fish,5
Finland,Marine Fish,1
Finland,Freshwater Fish,4
Finland,Vascular plants,76
Finland,Mosses,88
Finland,Lichens,224
